qsrc,adaptive_cw,mean_qsrc_used,N_native,seed,trans_throughput,trans_collision_prob,trans_npca_transition_count,native_throughput,native_collision_prob,total_npca_throughput,method
0,True,0.07692307692307693,0,42,1234,0.7651339728746278,2860,0,0.0,1234,adaptive
0,True,0.09239130434782608,0,123,1250,0.7505576208178438,2760,0,0.0,1250,adaptive
0,True,0.16366906474820145,0,456,1265,0.7401340282948623,2780,0,0.0,1265,adaptive
0,False,0,0,42,1300,0.7785094283148758,3120,0,0.0,1300,fixed_q0
0,False,0,0,123,1252,0.7697704081632653,2900,0,0.0,1252,fixed_q0
0,False,0,0,456,1303,0.7610169491525424,2900,0,0.0,1303,fixed_q0
1,False,1,0,42,1289,0.5070521861777151,2840,0,0.0,1289,fixed_q1
1,False,1,0,123,1309,0.5140740740740741,2700,0,0.0,1309,fixed_q1
1,False,1,0,456,1258,0.5226526592252134,3019,0,0.0,1258,fixed_q1
2,False,2,0,42,1230,0.2946145723336853,2840,0,0.0,1230,fixed_q2
2,False,2,0,123,1222,0.28773584905660377,2640,0,0.0,1222,fixed_q2
2,False,2,0,456,1261,0.3092896174863388,2659,0,0.0,1261,fixed_q2
0,True,0.09892086330935251,5,42,1201,0.783260955388867,2780,875,0.20938023450586266,2076,adaptive
0,True,0.11278195488721804,5,123,1203,0.7814594192107223,2660,837,0.21525423728813559,2040,adaptive
0,True,0.07065217391304347,5,456,1186,0.7889740781307046,2760,870,0.22865013774104684,2056,adaptive
0,False,0,5,42,1213,0.7882136279926335,2640,851,0.21469248291571755,2064,fixed_q0
0,False,0,5,123,1186,0.8025889967637541,2520,910,0.22984293193717278,2096,fixed_q0
0,False,0,5,456,1167,0.7984832069339112,2898,887,0.24092582851130984,2054,fixed_q0
1,False,1,5,42,1170,0.6023916292974589,2860,940,0.2065275548421616,2110,fixed_q1
1,False,1,5,123,1164,0.5819672131147541,2820,922,0.19408602150537635,2086,fixed_q1
1,False,1,5,456,1151,0.6012708498808578,2780,938,0.18950749464668093,2089,fixed_q1
2,False,2,5,42,1072,0.41384388807069217,2800,1013,0.1937561942517344,2085,fixed_q2
2,False,2,5,123,1071,0.41151685393258425,2659,983,0.1829393627954779,2054,fixed_q2
2,False,2,5,456,1122,0.38533541341653665,2800,1021,0.1796042617960426,2143,fixed_q2
0,True,0.08392857142857142,10,42,1200,0.7975980219003885,2800,884,0.3061032863849765,2084,adaptive
0,True,0.10139860139860139,10,123,1198,0.7997866287339972,2860,888,0.32730560578661844,2086,adaptive
0,True,0.10555555555555556,10,456,1193,0.7884012539184952,2700,906,0.3060853769300636,2099,adaptive
0,False,0,10,42,1142,0.8207516864760681,2780,895,0.30274802049371213,2037,fixed_q0
0,False,0,10,123,1169,0.8106796116504854,2578,924,0.2971014492753623,2093,fixed_q0
0,False,0,10,456,1185,0.8036135113904164,2580,910,0.3068688670829616,2095,fixed_q0
1,False,1,10,42,1156,0.6130030959752322,2800,966,0.2825212337952615,2122,fixed_q1
1,False,1,10,123,1127,0.6086235489220564,2740,973,0.2710655372269282,2100,fixed_q1
1,False,1,10,456,1200,0.6289308176100629,2580,1012,0.2897631133671743,2212,fixed_q1
2,False,2,10,42,1065,0.45981308411214955,2480,1103,0.23761544920235098,2168,fixed_q2
2,False,2,10,123,1081,0.4329073482428115,2680,1021,0.26518391787852863,2102,fixed_q2
2,False,2,10,456,1068,0.41304347826086957,2878,1020,0.2738907849829352,2088,fixed_q2
0,True,0.0683453237410072,20,42,1158,0.8218988218988219,2780,906,0.4154013015184382,2064,adaptive
0,True,0.11510791366906475,20,123,1123,0.8170865279299014,2780,912,0.39481481481481484,2035,adaptive
0,True,0.06068407502758367,20,456,1125,0.828335056876939,2719,902,0.3916791604197901,2027,adaptive
0,False,0,20,42,1117,0.8152134912091855,2880,943,0.3942878338278932,2060,fixed_q0
0,False,0,20,123,1148,0.8284697508896797,2759,958,0.40043525571273125,2106,fixed_q0
0,False,0,20,456,1142,0.8315461777931512,2800,943,0.41231544832553113,2085,fixed_q0
1,False,1,20,42,1064,0.6574450772986168,2880,994,0.38123893805309733,2058,fixed_q1
1,False,1,20,123,1116,0.639080459770115,2820,957,0.392662549945514,2073,fixed_q1
1,False,1,20,456,1104,0.6631234668847097,2819,1000,0.3636698599852616,2104,fixed_q1
2,False,2,20,42,1067,0.5241935483870968,2420,1147,0.36757466360354446,2214,fixed_q2
2,False,2,20,123,1058,0.5281803542673108,2760,1082,0.3528176408820441,2140,fixed_q2
2,False,2,20,456,1054,0.5016129032258064,2719,1060,0.3557658604977217,2114,fixed_q2
0,True,0.08455882352941177,30,42,1156,0.8346344925479063,2720,962,0.46580928481806777,2118,adaptive
0,True,0.125,30,123,1140,0.8187919463087249,2600,948,0.46536523929471035,2088,adaptive
0,True,0.05178571428571429,30,456,1189,0.8407801418439717,2800,926,0.46957878315132606,2115,adaptive
0,False,0,30,42,1157,0.8383139351997484,3000,947,0.4842039411948702,2104,fixed_q0
0,False,0,30,123,1099,0.8436853002070394,2620,940,0.45878594249201277,2039,fixed_q0
0,False,0,30,456,1147,0.8427526595744681,2819,899,0.4726758793969849,2046,fixed_q0
1,False,1,30,42,1093,0.6549707602339181,2920,961,0.4283858395582982,2054,fixed_q1
1,False,1,30,123,1105,0.6827279466271312,2760,971,0.4385009609224856,2076,fixed_q1
1,False,1,30,456,1084,0.6619127516778524,2760,992,0.42898457583547556,2076,fixed_q1
2,False,2,30,42,1034,0.5412541254125413,2840,1053,0.4095267553356016,2087,fixed_q2
2,False,2,30,123,999,0.5804953560371517,2979,1062,0.41507692307692307,2061,fixed_q2
2,False,2,30,456,990,0.5770676691729323,2619,1095,0.4093939393939394,2085,fixed_q2
